Avreisested,Land,dep_eng,dep_lat,dep_lon,Mål,dest_eng,dest_lat,dest_lon,Reisemåte,Dato,isodate,Annet,Selskap,Fra/Til,Avreise,Ankomst
Hirtshals,Danmark,"Hirtshals, Denmark",57.587963,9.963841,Kristiansand,"Kristiansand, Norway",58.137256,7.95224,Skip,2. august,2020-08-02,Superspeed 1,ColorLine,Hirtshals – Kristiansand,20:45,23:59
Doha,Qatar,"Doha, Qatar",25.248856,51.560016,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,3. august,2020-08-03,QR175,Qatar Airways,Doha - Oslo,07:30,13:10
København,Danmark,"Copenhagen, Denmark",55.704438,12.502119,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,3. august,2020-08-03,SK2872,SAS,København - Oslo,17:00,18:20
Skopje,Makedonia,"Skopje, Macedonia",42.001220000000004,21.42878,Sandefjord,"Sandefjord, Norway",59.138893,10.224857,Fly,3. august,2020-08-03,W67705,Wizz Air,Skopje - Sandefjord,17:40,20:55
Malaga,Spania,"Malaga, Spain",36.709737,-4.462013,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,3. august,2020-08-03,DY1803,Norwegian,Malaga - Oslo,19:55,23:55
Gdansk,Polen,"Gdansk, Poland",54.372781,18.628385,København,"Copenhagen, Denmark",55.704438,12.502119,Fly,4. august,2020-08-04,SK0760,SAS,Gdansk - København,14:00,15:00
København,Danmark,"Copenhagen, Denmark",55.704438,12.502119,Bergen,"Bergen, Norway",60.354965,5.302935,Fly,4. august,2020-08-04,SK 2872,SAS,København - Bergen,17:00,18:20
Amsterdam,Nederland,"Amsterdam, Netherlands",52.37243,4.89973,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,4. august,2020-08-04,KL1151,KLM,Amsterdam - Oslo,20:50,22:35
Hirtshals,Danmark,"Hirtshals, Denmark",57.587963,9.963841,Kristiansand,"Kristiansand, Norway",58.137256,7.95224,Skip,6. august,2020-08-06,Superspeed 1,ColorLine,Hirtshals – Kristiansand,12:15,15:30
Kristiansand,Norge,"Kristiansand, Norway",58.137256,7.95224,Bergen,"Bergen, Norway",60.354965,5.302935,Fly,6. august,2020-08-06,WF592,Widerøe,Kristiansand - Bergen,15:45,16:40
